"Reference","Qty","Value","Exclude from BOM","Exclude from Board","Distributor Link 2","LCSC","Manufacturer","Manufacturer Part Number","Distributor Link 1","Description"
"ANT1","1","2450AT07A0100","","","https://www.mouser.com/ProductDetail/Johanson-Technology/2450AT07A0100001T?qs=jRuttqqUwMTp3VGKP6FABg%3D%3D","C17531353","Johanson Technology","2450AT07A0100","https://www.digikey.com/en/products/detail/johanson-technology-inc/2450AT07A0100001T/4770686?s=N4IgTCBcDa4CwFYAMBBAKkg7CpBGJBeaIAugL5A","2.4GHz Chip Antenna 0402"
"C1,C2,C5,C8,C9,C10,C11,C14,C15,C23,C28,C29,C33,C36,C37,C38,C52","17","22uF","","","https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL10A226MO7JZNC?qs=sGAEpiMZZMvsSlwiRhF8qtsGU%2FCnaNeQBzruVQvBjN%2FZ5r%2FMGD9SXg%3D%3D","C2762594","Samsung Electro-Mechanics","CL10A226MO7JZNC","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A226MO7JZNC/7320581","22uF 16V X5R ±20% 0603 MLCC SMD"
"C6,C7,C12,C13,C16,C17,C18,C20,C22,C24,C25,C26,C27,C30,C32,C34,C35,C39,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C53","29","0.1uF","","","https://www.mouser.com/ProductDetail/Murata-Electronics/GRT033R61E104KE01D?qs=qkDYIeTQ%252BEmFaCFBTCLijg%3D%3D","C915760","Murata Electronics","GRT033R61E104KE01D","https://www.digikey.com/en/products/detail/murata-electronics/GRT033R61E104KE01D/10696558","100nF 25V X5R ±10% 0201 MLCC"
"C19,C21,C31,C40,C41","5","10pF","","","https://www.mouser.com/ProductDetail/Murata-Electronics/GRM0335C1H100FA01D?qs=3ZwS9AhGA%2F7YJY7gnG8Bsw%3D%3D","C384956","Murata Electronics","GRM0335C1H100FA01D","https://www.digikey.com/en/products/detail/murata-electronics/GRM0335C1H100FA01D/4358087","10pF 50V C0G ±1% 0201 MLCC, SMD"
"CMC1","1","CMC 0805","","","https://www.mouser.com/ProductDetail/TDK/ACT1210D-510-2P-TL00?qs=t7xnP681wgVhd%2FTE7Ev4%252BA%3D%3D","C448605","TDK","ACM2012H-900-2P-T03","https://www.digikey.com/en/products/detail/tdk-corporation/ACM2012H-900-2P-T03/10820106","Common mode choke, 115mA, 80VDC, 51mH, 3.0 Ohm, ACT1210D-510-2P-TL00"
"CN1","1","GT-USB-7014D","","","","C2843969","G-Switch","GT-USB-7014D","","USB TYPE C, USB 2.0, SMD, USB-C, Mid-Mount, Sink 2.1mm, CH=-0.52mm"
"CN2","1","SM04B-SURS-TF(LF)(SN)","","","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM04B-SURS-TF/7230518","C545754","JST","SM04B-SURS-TF(LF)(SN)","https://www.mouser.com/ProductDetail/JST-Commercial/SM04B-SURS-TFLFSN?qs=QpmGXVUTftFhRW6HxtE%252BdA%3D%3D","Connectors 1x4, SMD,P=0.8mm,Surface Mount，Right Angle"
"CN3","1","SM05B-SURS-TF(LF)(SN)","","","https://www.mouser.com/ProductDetail/JST-Commercial/SM05B-SURS-TFLFSN?qs=QpmGXVUTftHKpA2Xndhj2g%3D%3D","C5441000","JST","SM05B-SURS-TF(LF)(SN)","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM05B-SURS-TF/7230519","Connector 1x5, SMD,P=0.8mm,Surface Mount，Right Angle"
"D1,D2,D5,D9,D10,D11,D12,D13,D14,D15,D18,D19,D22,D24,D26,D28,D30,D32","18","D15V0H1U2LP-7B","","","https://www.mouser.com/ProductDetail/Diodes-Incorporated/D15V0H1U2LP-7B?qs=y6ZabgHbY%252ByqgwdrQEA6wA%3D%3D","C1973850","Diodes Incorporated","D15V0H1U2LP-7B","https://www.digikey.com/en/products/detail/diodes-incorporated/D15V0H1U2LP-7B/9089765","unidirectional TVS diode"
"D3,D4,D7,D8","4","SZESD7241N2T5G","","","https://www.mouser.com/ProductDetail/onsemi/SZESD7241N2T5G?qs=z6PAvqrnkvSq0oMCl81g4Q%3D%3D","C604770","onsemi","SZESD7241N2T5G","https://www.digikey.com/en/products/detail/onsemi/SZESD7241N2T5G/7221019?s=N4IgTCBcDaIMoC0CicAiB2MAWAjAOTABUBWAcRAF0BfIA","ESD bidirectional diode, 24Vrwm, X2DFN-2, SOD882"
"D6,D16,D17,D20,D21,D23,D25,D27,D29,D31,D33","11","SDM1100LP-7","","","https://www.mouser.com/ProductDetail/Diodes-Incorporated/SDM1100LP-7?qs=nJRy1mI8RR%252BLBKwWBIPRpg%3D%3D","C6999905","Diodes Incorporated","SDM1100LP-7","https://www.digikey.com/en/products/detail/diodes-incorporated/SDM1100LP-7/6010159","Schottky diode, filled shape"
"H1,H2,H3,H4","4","ESP_Header","Excluded from BOM","","","","","","","Generic connectable mounting pin connector, double row, 02x10, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins), script generated (kicad-library-utils/schlib/autogen/connector/)"
"LED1","1","Orange","","","","C5440629","XingLight","XL-0201UOC","https://www.digikey.com/en/products/detail/xinglight/XL-0201UOC/25673204","CHIP LED 0201 ORANGE SMD"
"LED2","1","Red","","","","C3646923","XingLight","XL-0201SURC","https://www.digikey.com/en/products/detail/xinglight/XL-0201SURC/25672952","CHIP LED 0201 RED SMD"
"LED3","1","Blue","","","","C3646921","XingLight","XL-0201UBC","https://www.digikey.com/en/products/detail/xinglight/XL-0201UBC/25672899","CHIP LED 0201 BLUE SMD"
"LED4","1","Green","","","","C3646922","XingLight","XL-0201UGC","https://www.digikey.com/en/products/detail/xinglight/XL-0201UGC/25673271","Green LED"
"R1","1","0R","","","https://www.mouser.com/ProductDetail/YAGEO/RC0201FR-070RL?qs=LWWr1WFOkdETHfAClQk8Xg%3D%3D","C106227","YAGEO","RC0201FR-070RL","https://www.digikey.com/en/products/detail/yageo/RC0201FR-070RL/1948858","Resistor"
"R2,R3,R4,R5,R14,R15,R16,R17,R19,R20,R21,R22,R33,R40,R42,R44,R45,R46,R48,R49,R51,R52,R53,R54,R56,R58,R65,R66","28","5k1","","","https://www.mouser.com/ProductDetail/YAGEO/AC0201FR-075K1L?qs=NgbZBzc1CyEpZtmyay6EFQ%3D%3D","C226588","YAGEO","AC0201FR-075K1L","https://www.digikey.com/en/products/detail/yageo/AC0201FR-075K1L/5894738","-55℃~+155℃ 25V 5.1kΩ 50mW Thick Film Resistor ±1% ±200ppm/℃ 0201"
"R6,R11,R13,R26,R28,R30,R32,R50","8","100k","","","https://www.mouser.com/ProductDetail/YAGEO/AC0201FR-07100KL?qs=NgbZBzc1CyEjM8v3NDhy8g%3D%3D","C226394","YAGEO","AC0201FR-07100KL","https://www.digikey.com/en/products/detail/yageo/AC0201FR-07100KL/5894217","100kΩ, 25V, 50mW, Thick Film, ±1% 0201 SMD"
"R7,R8,R9,R10,R12,R25,R27,R29,R31","9","26k1","","","https://www.mouser.com/ProductDetail/YAGEO/AC0201FR-0726K1L?qs=NgbZBzc1CyHdkzjeC2WcqA%3D%3D","C910625","YAGEO","AC0201FR-0726K1L","https://www.digikey.com/en/products/detail/yageo/AC0201FR-0726K1L/5894466","-55℃~+155℃ 25V 26.1kΩ 50mW Thick Film Resistor ±1% ±200ppm/℃ 0201"
"R18,R23,R24","3","470R","","","https://www.mouser.com/ProductDetail/YAGEO/AC0201FR-07470RL?qs=NgbZBzc1CyHiuSAFKqzYpg%3D%3D","C226558","YAGEO","AC0201FR-07470RL","https://www.digikey.com/en/products/detail/yageo/AC0201FR-07470RL/5894660","SMD 470R OHM 1% 1/20W 0201"
"R34,R35,R36,R37,R38,R39,R41,R43,R55,R57,R59,R60,R61,R62,R63,R64","16","33R","","","https://www.mouser.com/ProductDetail/YAGEO/AC0201FR-0733RL?qs=NgbZBzc1CyGsdL%2FSauAQCA%3D%3D","C226514","YAGEO","AC0201FR-0733RL","https://www.digikey.com/en/products/detail/yageo/AC0201FR-0733RL/5894558","RES SMD 33 OHM 1% 1/20W 0201 AEC-Q200"
"R47","1","1k6","","","https://www.mouser.com/ProductDetail/YAGEO/AC0201FR-071K6L?qs=NgbZBzc1CyGTZCebI7eBwQ%3D%3D","C910613","YAGEO","AC0201FR-071K62L","https://www.digikey.com/en/products/detail/yageo/AC0201FR-071K6L/5894368","-55℃~+155℃ 1kΩ 25V 50mW Thin Film ±0.1% ±25ppm/℃ 0201 AEC-Q200"
"SW1,SW2","2","SPST-NO","","","https://www.mouser.com/ProductDetail/Omron-Electronics/B3U-3000P-B?qs=AO7BQMcsEu4JAdtnbsGArA%3D%3D","C4364471","Omron Electronics Inc","B3U-3000P(M)-B","https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/B3U-3000PM-B/2754806","Side Button, 12V, 0,5A,  3.0x2.5mm, Ultra Small, SPST, SMD"
"U1","1","ESP32-S3-PICO-1-N8R2","","","https://www.mouser.com/ProductDetail/Espressif-Systems/ESP32-S3-PICO-1-N8R2?qs=1Kr7Jg1SGW%252BOoNgEZ0ZsQg%3D%3D","C7558093","Espressif","ESP32-S3-PICO-1-N8R2","https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-PICO-1-N8R2/21264372","ESP32-S3 SOC, 8MB Flash, 2MB PSRAM"
"U2","1","TPS2121","","","https://www.mouser.com/ProductDetail/Texas-Instruments/TPS2121RUXR?qs=qSfuJ%252Bfl%2Fd7dCYiVnUfngQ%3D%3D","C485916","Texas Instruments","TPS2121RUXR","https://www.digikey.com/en/products/detail/texas-instruments/TPS2121RUXR/9859001","2.8-V to 22-V Priority Power MUX"
"U3","1","TPSM82903","","","https://www.mouser.com/ProductDetail/Texas-Instruments/TPSM82903SISR?qs=IPgv5n7u5QZzFdkAEGNjcA%3D%3D","C6290583","TI","TPSM82903SISR","https://www.digikey.com/en/products/detail/texas-instruments/TPSM82903SISR/17748443","3-17V, 3A input, stepdown, DC/DC converter, Texas uSIP-11"
"U4","1","TCAN4550RGYRQ1","","","https://www.mouser.com/ProductDetail/Texas-Instruments/TCAN4550RGYRQ1?qs=j%252B1pi9TdxUbue50dywkjNA%3D%3D","C2876736","Texas Instruments","TCAN4550RGYRQ1","https://www.digikey.com/en/products/detail/texas-instruments/TCAN4550RGYRQ1/10820438","CAN-FD controller with integrated transceiver, 5Mbps, 3.3V to 5V supply, SPI interface, VQFN-20"
"U5","1","TPS2HC08-Q1","","","https://www.mouser.com/ProductDetail/Texas-Instruments/TPS2HC08PQVAHRQ1?qs=bpu3f%2FCR1jxtxq91yEqjJQ%3D%3D","C52741465","Texas Instruments","TPS2HC08PQVAHRQ1","https://www.digikey.com/en/products/detail/texas-instruments/TPS2HC08PQVAHRQ1/28738765","Dual-Channel Automotive Smart High-Side Switch 9.7mΩ 7.5A, VQFN-HR-11 SMD"
"U6,U13,U14,U15,U16,U17","6","74LV1T126","","","https://www.mouser.com/ProductDetail/Nexperia/74LV1T126GXH?qs=W0yvOO0ixfF6HHeY7jn3KA%3D%3D","C547942","Nexperia","74LV1T126GXH","https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LV1T126GXH/8276618","Buffer, 3-State"
"U7,U8,U9,U10,U11,U12","6","74LVC1G14","","","https://www.mouser.com/ProductDetail/Nexperia/74LVC1G14GX125?qs=cbprxTG2Yq8W9TluOy6O7Q%3D%3D","C548273","Nexperia","74LVC1G14GX,125","https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LVC1G14GX-125/4020788","Inverter, Schmitt Trigger"
"Y1","1","40MHz","","","https://www.mouser.com/ProductDetail/Murata-Electronics/XRCGE40M000FZA2AR0?qs=%252BXxaIXUDbq3AD05PyQC0eA%3D%3D","C43786933","Murata Electronics","XRCGE40M000FZA2AR0","https://www.digikey.com/en/products/detail/murata-electronics/XRCGE40M000FZA2AR0/25616610","Four pin crystal, GND on pins 2 and 4"
