Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C502,C504,C505,C506,C511,C512,C601",C_0201_Dense,C915760,7
0R,R411,R_0201_Dense,C473473,1
100k,"R503,R506,R509",R_0201_Dense,C226394,3
22uF,"C401,C402,C403,C404,C405,C501,C503,C507,C508,C509,C510,C513,C514",C_0603_Dense,C29519229,13
2450AT07A0100,ANT401,Chip Antenna 0402,C17531353,1
26k1,"R504,R505,R507,R508,R510",R_0201_Dense,C910625,5
33R,"R401,R402,R403,R404,R405,R406,R407,R408",R_0201_Nominal,C226514,8
470R,"R603,R607",R_0201_Nominal,C226558,2
5k1,"R409,R410,R501,R502,R601,R602,R604,R605,R606",R_0201_Nominal,C226588,9
Blue,LED601,LED_0201-2,C3646921,1
D15V0H1U2LP-7B,"D501,D502,D505",DFN1006-2,C1973850,3
ESP32-S3-PICO-1-N8R2,U401,ESP32-S3-Pico-1,C7558093,1
GT-USB-7014D,CN501,USB_C_Receptacle_G-Switch-GT-USB-7014D,C2843969,1
Green,LED602,LED_0201-2,C3646922,1
Orange,LED603,LED_0201-2,C5440629,1
PMEG4002ESFYL,"D506,D601",DFN0603-2,C22435168,2
Red,LED604,LED_0201-2,C3646923,1
SPST-NO,"SW601,SW602",SW_SPST_B3U_series,C4364471,2
SZESD7241N2T5G,"D503,D504",DFN1006-2,C604770,2
TPS2121,U501,VQHN-HR-12,C485916,1
TPSM82903,U502,uSIP-11_3.0x2.8,C6290583,1
