Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT401,2450AT07A0100,Chip Antenna 0402,145.8,-89.723,270.0,top
C401,22uF,C_0603_Dense,148.510787,-93.433887,315.0,bottom
C402,22uF,C_0603_Dense,150.05,-103.1,0.0,bottom
C403,22uF,C_0603_Dense,153.329988,-96.401439,225.0,bottom
C404,22uF,C_0603_Dense,151.060459,-93.296978,225.0,bottom
C405,22uF,C_0603_Dense,145.9995,-97.841,0.0,bottom
C501,22uF,C_0603_Dense,159.2,-106.8,270.0,bottom
C502,0.1uF,C_0201_Dense,158.1,-106.8,180.0,bottom
C503,22uF,C_0603_Dense,152.1,-107.0,0.0,bottom
C504,0.1uF,C_0201_Dense,153.65,-107.78,270.0,bottom
C505,0.1uF,C_0201_Dense,155.6,-104.2,90.0,bottom
C506,0.1uF,C_0201_Dense,154.2,-105.1,90.0,bottom
C507,22uF,C_0603_Dense,153.2,-104.8,90.0,bottom
C508,22uF,C_0603_Dense,151.85,-104.8,90.0,bottom
C509,22uF,C_0603_Dense,144.95,-104.8,90.0,bottom
C510,22uF,C_0603_Dense,143.6,-104.8,90.0,bottom
C511,0.1uF,C_0201_Dense,144.2,-108.2,180.0,bottom
C512,0.1uF,C_0201_Dense,141.9,-106.303,180.0,bottom
C513,22uF,C_0603_Dense,142.25,-104.8,90.0,bottom
C514,22uF,C_0603_Dense,140.9,-104.8,90.0,bottom
C601,0.1uF,C_0201_Dense,146.25,-91.58,270.0,bottom
CN501,GT-USB-7014D,USB_C_Receptacle_G-Switch-GT-USB-7014D,150.0,-111.828,0.0,top
D501,D15V0H1U2LP-7B,DFN1006-2,152.4,-108.503,90.0,bottom
D502,D15V0H1U2LP-7B,DFN1006-2,147.6,-108.503,90.0,bottom
D503,SZESD7241N2T5G,DFN1006-2,150.9,-108.503,90.0,bottom
D504,SZESD7241N2T5G,DFN1006-2,149.1,-108.503,90.0,bottom
D505,D15V0H1U2LP-7B,DFN1006-2,159.3,-104.183,90.0,bottom
D506,PMEG4002ESFYL,DFN0603-2,157.8,-103.783,0.0,bottom
D601,PMEG4002ESFYL,DFN0603-2,158.7,-112.218,270.0,bottom
LED601,Blue,LED_0201-2,144.9,-92.205,-90.0,top
LED602,Green,LED_0201-2,157.1,-112.3,90.0,top
LED603,Orange,LED_0201-2,157.1,-110.7,90.0,top
LED604,Red,LED_0201-2,159.2,-114.098,0.0,bottom
R401,33R,R_0201_Nominal,141.0,-97.47,180.0,top
R402,33R,R_0201_Nominal,141.0,-100.0,180.0,top
R403,33R,R_0201_Nominal,141.0,-101.27,180.0,top
R404,33R,R_0201_Nominal,141.0,-102.57,180.0,top
R405,33R,R_0201_Nominal,141.0,-103.7,180.0,top
R406,33R,R_0201_Nominal,154.88,-99.9,0.0,top
R407,33R,R_0201_Nominal,157.6,-98.73,180.0,top
R408,33R,R_0201_Nominal,157.6,-100.0,180.0,top
R409,5k1,R_0201_Nominal,155.6,-91.85,90.0,bottom
R410,5k1,R_0201_Nominal,154.588787,-91.18,90.0,bottom
R411,0R,R_0201_Dense,149.1,-90.403,90.0,top
R501,5k1,R_0201_Nominal,152.8,-107.503,180.0,top
R502,5k1,R_0201_Nominal,146.52,-107.423,0.0,top
R503,100k,R_0201_Dense,154.22,-107.8,270.0,bottom
R504,26k1,R_0201_Dense,154.5,-108.5,0.0,bottom
R505,26k1,R_0201_Dense,155.35,-108.5,0.0,bottom
R506,100k,R_0201_Dense,157.78,-107.8,270.0,bottom
R507,26k1,R_0201_Dense,157.5,-108.5,180.0,bottom
R508,26k1,R_0201_Dense,156.65,-108.5,180.0,bottom
R509,100k,R_0201_Dense,155.0,-104.2,90.0,bottom
R510,26k1,R_0201_Dense,144.2,-108.803,0.0,bottom
R601,5k1,R_0201_Nominal,145.4,-91.775,90.0,bottom
R602,5k1,R_0201_Nominal,145.4,-93.425,270.0,bottom
R603,470R,R_0201_Nominal,144.45,-93.425,270.0,bottom
R604,5k1,R_0201_Nominal,157.9,-110.05,90.0,bottom
R605,5k1,R_0201_Nominal,157.1,-112.95,90.0,bottom
R606,5k1,R_0201_Nominal,156.9,-110.05,90.0,bottom
R607,470R,R_0201_Nominal,158.15,-113.82,90.0,bottom
SW601,SPST-NO,SW_SPST_B3U_series,137.3,-113.27,270.0,top
SW602,SPST-NO,SW_SPST_B3U_series,162.7,-113.27,270.0,top
U201,~,ESP32-S3_D1_Pico,150.0,-98.73,0.0,top
U401,ESP32-S3-PICO-1-N8R2,ESP32-S3-Pico-1,150.0,-96.903,-45.0,top
U501,TPS2121,VQHN-HR-12,156.0,-106.5,270.0,bottom
U502,TPSM82903,uSIP-11_3.0x2.8,141.9,-108.303,0.0,bottom
